,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Claimant data by constituency: JSA claimants and Universal Credit claimants required to seek work, December 2016",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: Figures include JSA claimants and people claiming Universal Credit (UC) who are required to seek work. UC figures are provisional. All data are rounded to the nearest five, except for data on claims by type (JSA claimants only; UC claimants only). The number of JSA claimants and the number of UC claimants may not sum to the total claimant count as data are taken from different sources and are independently rounded.",,,,,,,,,,,,,,,,,,,,,,,,,
Claimant rate is the proportion of the economically active population aged 16-64 (as estimated by the Library) who are claiming JSA or claiming UC and required to seek work.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Claimant levels,,,,,Claimant rate,,,Claims by age group,,,,,,,,,,Claims by type,,
 ,,,,,All claimants,,,,,All claimants,,,18-24,,,,,50 and over,,,,,JSA only,UC only,
,,,,,Number,,Annual change,,,Rate,Rank,,Number,,Annual change,,,Number,,Annual change,,,,,
,,,,,,,level,%,,%,1=highest,,                                                                                      ,,level,%,,,,level,%,,,,
Bolton South East,Bolton South East,England,"2,219.82524642133",559.82524642133,"2,215",,135,6,,4.8,45,,555,,15,2.8,,430,,55,14.7,,"1,089","1,123",
Bolton West,Bolton West,England,"1,197.53713849227",297.53713849227,"1,195",,65,6,,2.5,248,,295,,-15,-4.8,,265,,35,15.2,,518,679,
Bootle,Bootle,England,"2,510.41540249872",540.41540249872,"2,505",,-240,-9,,5.4,24,,535,,-100,-15.7,,570,,10,1.8,,"1,103","1,407",
Boston and Skegness,Boston and Skegness,England,"1,377.89399040855",342.89399040855,"1,375",,-10,-1,,2.9,203,,340,,20,6.3,,370,,15,4.2,,859,520,
Bosworth,Bosworth,England,626.22282236672,161.22282236672,625,,-25,-4,,1.2,514,,160,,20,14.3,,145,,-15,-9.4,,413,211,
Bournemouth East,Bournemouth East,England,"1,142.05684002866",177.05684002866,"1,140",,95,9,,2.1,340,,175,,5,2.9,,320,,50,18.5,,793,346,
Bournemouth West,Bournemouth West,England,981.88261997211,201.88261997211,980,,135,16,,1.9,360,,200,,35,21.2,,250,,45,22.0,,643,336,
Bracknell,Bracknell,England,545.91426988484,100.91426988484,545,,20,4,,0.9,580,,100,,25,33.3,,150,,5,3.4,,367,177,
Bradford East,Bradford East,England,"2,459.90022164550",564.90022164550,"2,455",,-100,-4,,4.9,37,,560,,35,6.7,,550,,10,1.9,,"1,851",604,
Bradford South,Bradford South,England,"1,778.63899169988",408.63899169988,"1,775",,25,1,,3.6,113,,405,,40,11.0,,400,,50,14.3,,"1,320",458,
Bradford West,Bradford West,England,"2,690.68023391850",630.68023391850,"2,685",,115,4,,5.7,18,,625,,75,13.6,,505,,20,4.1,,"1,925",757,
Braintree,Braintree,England,626.23160025717,131.23160025717,625,,-15,-2,,1.2,513,,130,,-30,-18.8,,175,,45,34.6,,473,149,
Brecon and Radnorshire,Brecon and Radnorshire,Wales,406.29205007753,106.29205007753,405,,0,0,,1.3,497,,105,,0,0.0,,125,,10,8.7,,257,149,
Brent Central,Brent Central,England,"2,949.02582621664",424.02582621664,"2,945",,-260,-8,,4.0,88,,420,,-5,-1.2,,850,,-65,-7.1,,"2,192",753,
Brent North,Brent North,England,"1,261.86601180362",231.86601180362,"1,260",,-155,-11,,1.9,365,,230,,0,0.0,,370,,-10,-2.6,,801,461,
Brentford and Isleworth,Brentford and Isleworth,England,"1,927.60907974822",277.60907974822,"1,925",,565,42,,2.6,237,,275,,75,37.5,,505,,165,48.5,,395,"1,531",
Brentwood and Ongar,Brentwood and Ongar,England,506.06955522740,131.06955522740,505,,75,17,,1.1,546,,130,,45,52.9,,125,,15,13.6,,338,167,
Bridgend,Bridgend,Wales,917.37791834083,217.37791834083,915,,0,0,,2.4,280,,215,,-25,-10.4,,235,,10,4.4,,630,286,
Bridgwater and West Somerset,Bridgwater and West Somerset,England,"1,252.41192564533",287.41192564533,"1,250",,295,31,,2.4,270,,285,,30,11.8,,305,,90,41.9,,239,"1,010",
Brigg and Goole,Brigg and Goole,England,957.21588620715,232.21588620715,955,,-25,-3,,2.2,308,,230,,-15,-6.1,,260,,10,4.0,,661,291,
"Brighton, Kemptown","Brighton, Kemptown",England,"1,117.42159248028",257.42159248028,"1,115",,25,2,,2.4,266,,255,,0,0.0,,260,,15,6.1,,786,331,
"Brighton, Pavilion","Brighton, Pavilion",England,991.58759382698,206.58759382698,990,,55,6,,1.6,426,,205,,25,13.9,,205,,5,2.5,,688,303,
Bristol East,Bristol East,England,"1,162.22386036778",207.22386036778,"1,160",,55,5,,2.2,307,,205,,0,0.0,,295,,60,25.5,,889,273,
Bristol North West,Bristol North West,England,966.91939146127,211.91939146127,965,,-10,-1,,1.9,354,,210,,5,2.4,,255,,40,18.6,,699,265,
Bristol South,Bristol South,England,"1,277.19056494315",297.19056494315,"1,275",,225,21,,2.2,315,,295,,70,31.1,,295,,65,28.3,,875,401,
Bristol West,Bristol West,England,"1,737.34234549711",267.34234549711,"1,735",,80,5,,2.3,290,,265,,10,3.9,,400,,50,14.3,,"1,275",462,
Broadland,Broadland,England,375.81426546652,100.81426546652,375,,65,21,,0.8,602,,100,,25,33.3,,105,,25,31.3,,230,143,
Bromley and Chislehurst,Bromley and Chislehurst,England,691.46632453472,136.46632453472,690,,10,1,,1.5,451,,135,,25,22.7,,185,,20,12.1,,533,157,
Bromsgrove,Bromsgrove,England,566.23360950331,146.23360950331,565,,35,7,,1.2,512,,145,,20,16.0,,140,,-10,-6.7,,373,195,
Broxbourne,Broxbourne,England,731.42858405014,156.42858405014,730,,20,3,,1.4,462,,155,,10,6.9,,195,,40,25.8,,528,200,
Broxtowe,Broxtowe,England,781.61688058599,236.61688058599,780,,65,9,,1.6,418,,235,,75,46.9,,170,,5,3.0,,507,274,
Buckingham,Buckingham,England,310.60728397312,50.60728397312,310,,70,29,,0.6,641,,50,,15,42.9,,100,,15,17.6,,221,86,
Burnley,Burnley,England,"1,639.14330504438",369.14330504438,"1,635",,240,17,,4.1,82,,365,,50,15.9,,380,,85,28.8,,759,876,
Burton,Burton,England,546.07338785052,131.07338785052,545,,45,9,,1.1,545,,130,,15,13.0,,135,,10,8.0,,288,258,
Bury North,Bury North,England,"1,298.06209437390",303.06209437390,"1,295",,-15,-1,,3.1,181,,300,,-65,-17.8,,265,,5,1.9,,699,596,
Bury South,Bury South,England,"1,397.90942415665",322.90942415665,"1,395",,20,1,,2.9,199,,320,,-10,-3.0,,305,,15,5.2,,683,710,
Bury St Edmunds,Bury St Edmunds,England,611.03005719591,141.03005719591,610,,30,5,,1.0,554,,140,,20,16.7,,160,,5,3.2,,403,208,
Caerphilly,Caerphilly,Wales,"1,423.47483987707",393.47483987707,"1,420",,-285,-17,,3.5,128,,390,,-45,-10.3,,305,,-65,-17.6,,967,449,
"Caithness, Sutherland and Easter Ross","Caithness, Sutherland and Easter Ross",Scotland,873.09064459463,183.09064459463,870,,50,6,,3.1,173,,180,,10,5.9,,240,,50,26.3,,578,293,
Calder Valley,Calder Valley,England,921.74205198788,216.74205198788,920,,105,13,,1.7,388,,215,,20,10.3,,245,,50,25.6,,557,363,
Camberwell and Peckham,Camberwell and Peckham,England,"2,453.44340421395",338.44340421395,"2,450",,-130,-5,,3.4,131,,335,,-55,-14.1,,770,,55,7.7,,"1,605",848,
Camborne and Redruth,Camborne and Redruth,England,952.37488867200,227.37488867200,950,,55,6,,2.4,281,,225,,30,15.4,,275,,50,22.2,,660,289,
Cambridge,Cambridge,England,701.17390712175,111.17390712175,700,,30,4,,1.2,525,,110,,5,4.8,,205,,35,20.6,,556,142,
Cannock Chase,Cannock Chase,England,716.46535568431,171.46535568431,715,,20,3,,1.5,452,,170,,25,17.2,,185,,10,5.7,,434,282,
Canterbury,Canterbury,England,921.73032034285,206.73032034285,920,,185,25,,1.7,392,,205,,35,20.6,,245,,65,36.1,,671,249,
