,,,,,,,,,,,,,,,,,,,,,,,,,
column reference number,52,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Claimant data by constituency: JSA claimants and Universal Credit claimants required to seek work, March 2017",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: Figures include JSA claimants and people claiming Universal Credit (UC) who are required to seek work. UC figures are provisional. All data are rounded to the nearest five, except for data on claims by type (JSA claimants only; UC claimants only). The number of JSA claimants and the number of UC claimants may not sum to the total claimant count as data are taken from different sources and are independently rounded.",,,,,,,,,,,,,,,,,,,,,,,,,
Claimant rate is the proportion of the economically active population aged 16-64 (as estimated by the Library) who are claiming JSA or claiming UC and required to seek work.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Claimant levels,,,,,Claimant rate,,,Claims by age group,,,,,,,,,,Claims by type,,
 ,,,,,All claimants,,,,,All claimants,,,18-24,,,,,50 and over,,,,,JSA only,UC only,
,,,,,Number,,Annual change,,,Rate,Rank,,Number,,Annual change,,,Number,,Annual change,,,,,
,,,,,,,level,%,,%,1=highest,,                                                                                      ,,level,%,,,,level,%,,,,
Burton,Burton,England,756.48698683880,181.48698683880,755,,15,2,,1.5,485,,180,,-5,-2.7,,180,,30,20.0,,430,327,
Bury North,Bury North,England,"1,433.38130884532",333.38130884532,"1,430",,-5,0,,3.4,170,,330,,-55,-14.3,,295,,10,3.5,,746,685,
Bury South,Bury South,England,"1,478.07627285381",323.07627285381,"1,475",,-40,-3,,3.1,209,,320,,-40,-11.1,,335,,10,3.1,,705,771,
Bury St Edmunds,Bury St Edmunds,England,691.16514666423,151.16514666423,690,,35,5,,1.2,554,,150,,10,7.1,,190,,10,5.6,,450,240,
Caerphilly,Caerphilly,Wales,"1,518.70731155898",418.70731155898,"1,515",,-195,-11,,3.7,136,,415,,-40,-8.8,,325,,-30,-8.5,,"1,031",482,
"Caithness, Sutherland and Easter Ross","Caithness, Sutherland and Easter Ross",Scotland,958.39260412399,198.39260412399,955,,35,4,,3.4,169,,195,,0,0.0,,290,,50,20.8,,620,338,
Calder Valley,Calder Valley,England,"1,021.93140546482",236.93140546482,"1,020",,65,7,,1.9,389,,235,,10,4.4,,285,,45,18.8,,589,431,
Camberwell and Peckham,Camberwell and Peckham,England,"2,793.92126439057",388.92126439058,"2,790",,95,4,,3.9,120,,385,,-30,-7.2,,870,,135,18.4,,"1,115","1,677",
Camborne and Redruth,Camborne and Redruth,England,"1,047.61237753920",272.61237753920,"1,045",,25,2,,2.6,280,,270,,45,20.0,,280,,20,7.7,,677,368,
Cambridge,Cambridge,England,721.20744732523,106.20744732523,720,,-20,-3,,1.2,542,,105,,-20,-16.0,,205,,10,5.1,,572,148,
Cannock Chase,Cannock Chase,England,851.74203123310,211.74203123310,850,,60,8,,1.7,426,,210,,25,13.5,,215,,25,13.2,,490,362,
Canterbury,Canterbury,England,956.79614774720,226.79614774720,955,,140,17,,1.8,417,,225,,55,32.4,,245,,25,11.4,,662,293,
Cardiff Central,Cardiff Central,Wales,"1,438.24614497608",298.24614497608,"1,435",,-110,-7,,3.2,190,,295,,-40,-11.9,,265,,-20,-7.0,,"1,079",360,
Cardiff North,Cardiff North,Wales,731.64074754635,166.64074754635,730,,-45,-6,,1.6,449,,165,,-15,-8.3,,185,,15,8.8,,513,217,
Cardiff South and Penarth,Cardiff South and Penarth,Wales,"1,878.29489230095",418.29489230095,"1,875",,-90,-5,,3.3,183,,415,,45,12.2,,380,,-25,-6.2,,"1,397",478,
Cardiff West,Cardiff West,Wales,"1,573.49709571412",343.49709571412,"1,570",,-130,-8,,3.5,153,,340,,-25,-6.8,,335,,0,0.0,,"1,147",424,
Carlisle,Carlisle,England,856.98398704708,206.98398704708,855,,-25,-3,,2.0,379,,205,,-20,-8.9,,200,,0,0.0,,361,492,
Carmarthen East and Dinefwr,Carmarthen East and Dinefwr,Wales,732.33122601582,167.33122601582,730,,-10,-1,,2.3,320,,165,,-35,-17.5,,200,,15,8.1,,524,207,
Carmarthen West and South Pembrokeshire,Carmarthen West and South Pembrokeshire,Wales,"1,048.04969861170",258.04969861170,"1,045",,-50,-5,,3.0,213,,255,,5,2.0,,270,,0,0.0,,731,309,
Carshalton and Wallington,Carshalton and Wallington,England,"1,668.15853472981",298.15853472981,"1,665",,535,47,,3.2,197,,295,,75,34.1,,435,,165,61.1,,207,"1,458",
Castle Point,Castle Point,England,711.70817806802,201.70817806802,710,,-50,-7,,1.7,438,,200,,0,0.0,,160,,-15,-8.6,,399,307,
Central Ayrshire,Central Ayrshire,Scotland,"1,729.24686428272",399.24686428272,"1,725",,25,1,,4.2,98,,395,,-25,-6.0,,430,,35,8.9,,"1,109",618,
Central Devon,Central Devon,England,441.00800636912,91.00800636912,440,,10,2,,1.0,586,,90,,0,0.0,,145,,15,11.5,,302,139,
Central Suffolk and North Ipswich,Central Suffolk and North Ipswich,England,531.11681446036,106.11681446036,530,,10,2,,1.1,562,,105,,-15,-12.5,,165,,30,22.2,,371,158,
Ceredigion,Ceredigion,Wales,536.67838985778,131.67838985778,535,,-10,-2,,1.7,442,,130,,-20,-13.3,,135,,-25,-15.6,,360,174,
Charnwood,Charnwood,England,355.71026806883,90.71026806883,355,,-35,-9,,0.7,638,,90,,15,20.0,,115,,5,4.5,,203,151,
Chatham and Aylesford,Chatham and Aylesford,England,"1,307.52350983084",307.52350983084,"1,305",,-70,-5,,2.5,291,,305,,-5,-1.6,,290,,-15,-4.9,,930,372,
Cheadle,Cheadle,England,586.33830756339,121.33830756339,585,,-5,-1,,1.3,520,,120,,-10,-7.7,,145,,10,7.4,,291,292,
Chelmsford,Chelmsford,England,951.65467637950,181.65467637950,950,,-30,-3,,1.7,444,,180,,-35,-16.3,,250,,15,6.4,,676,276,
Chelsea and Fulham,Chelsea and Fulham,England,"1,197.03698680837",127.03698680837,"1,195",,145,14,,2.0,367,,125,,-15,-10.7,,420,,125,42.4,,496,706,
Cheltenham,Cheltenham,England,821.48337497539,156.48337497539,820,,5,1,,1.5,486,,155,,-25,-13.9,,210,,30,16.7,,514,304,
Chesham and Amersham,Chesham and Amersham,England,420.94730922377,80.94730922377,420,,85,25,,0.9,594,,80,,15,23.1,,120,,20,20.0,,293,127,
Chesterfield,Chesterfield,England,"1,107.44072904356",297.44072904356,"1,105",,70,7,,2.4,303,,295,,-5,-1.7,,265,,25,10.4,,732,374,
Chichester,Chichester,England,676.38052953105,121.38052953105,675,,50,8,,1.4,513,,120,,5,4.3,,200,,30,17.6,,471,200,
Chingford and Woodford Green,Chingford and Woodford Green,England,982.07420601158,172.07420601158,980,,-5,-1,,2.1,363,,170,,-15,-8.1,,265,,30,12.8,,653,329,
Chippenham,Chippenham,England,621.24330695640,146.24330695640,620,,-25,-4,,1.2,534,,145,,-35,-19.4,,165,,15,10.0,,381,235,
Chipping Barnet,Chipping Barnet,England,"1,031.75091224354",156.75091224354,"1,030",,-10,-1,,1.8,424,,155,,-45,-22.5,,295,,35,13.5,,727,303,
Chorley,Chorley,England,"1,132.25852533666",272.25852533666,"1,130",,100,10,,2.3,336,,270,,15,5.9,,290,,45,18.4,,573,557,
Christchurch,Christchurch,England,416.19750573311,76.19750573311,415,,60,17,,1.2,548,,75,,10,15.4,,135,,35,35.0,,291,123,
Cities of London and Westminster,Cities of London and Westminster,England,"1,201.76404458300",131.76404458300,"1,200",,70,6,,1.8,423,,130,,0,0.0,,390,,65,20.0,,986,213,
City of Chester,City of Chester,England,916.93571999518,186.93571999518,915,,105,13,,1.9,387,,185,,5,2.8,,235,,30,14.6,,352,565,
City of Durham,City of Durham,England,"1,007.28712899593",242.28712899593,"1,005",,95,10,,2.3,332,,240,,35,17.1,,245,,45,22.5,,642,361,
