date,geography,geography code,All categories,Agriculture,Mining and quarrying,Manufacturing,Manufacturing: Food,Manufacturing: Textiles,Manufacturing: Wood,Manufacturing: Chemicals,Manufacturing: Low tech,Manufacturing: High tech,Manufacturing: Other,Electricity and Gas,Water supply and Sewerage,Construction,Wholesale and retail trade,Transport and storage,Accommodation and food service activities,Information and communication,Financial and insurance activities,Real estate activities,Professional and scientific activities,Administrative and support service activities,Public administration and defence,Education,Human health and social work,Arts and Entertainment,Activities of households as employers,Activities of extraterritorial organisations and bodies
2011,Salford and Eccles,E14000911,52227,36,22,3557,621,219,142,529,561,676,809,327,390,3532,8848,2597,4014,1931,2660,762,3375,3237,2796,4246,7367,2503,12,15
2011,Sefton Central,E14000916,39121,133,63,2593,384,94,79,303,443,610,680,158,221,2988,5859,1775,1500,1090,2114,676,2349,1390,3990,4660,5710,1831,19,2
2011,South Ribble,E14000943,48695,931,21,5282,688,219,130,451,713,2135,946,182,459,3921,7810,2055,1937,1238,1235,711,2624,2196,4953,5054,5992,2075,14,5
2011,Southport,E14000958,40551,307,30,2651,500,78,73,287,453,589,671,73,249,2964,7330,1679,2624,1060,1321,510,2236,1711,2755,4149,6801,2073,19,9
2011,St Helens North,E14000962,43428,140,39,4607,588,169,165,637,1411,793,844,251,571,3760,7721,2618,1872,1081,1084,625,1917,2193,2658,4153,6306,1820,9,3
2011,St Helens South and Whiston,E14000963,44679,76,41,4625,393,178,164,586,1383,1126,795,252,626,3533,7560,2631,2086,1084,1165,659,1700,2130,2754,3803,7955,1986,12,1
2011,Stalybridge and Hyde,E14000967,43044,66,20,5792,833,418,284,856,941,1101,1359,420,378,3724,7110,2047,1903,1113,1643,707,2269,1944,2537,3921,5512,1908,26,4
2011,Stockport,E14000969,41447,26,21,3424,490,205,102,440,466,819,902,277,229,2936,6378,2386,1974,1592,1854,607,2967,2395,1950,4336,6139,1921,25,10
2011,Stretford and Urmston,E14000979,46433,39,32,3682,879,218,120,506,400,662,897,293,320,3067,7798,2676,2329,1766,2266,679,2799,2580,2528,4693,6711,2154,15,6
2011,Tatton,E14000987,41328,657,66,3766,566,141,79,1122,402,695,761,175,240,2480,6548,1909,2126,2030,2194,845,4541,2158,1452,3687,4427,1956,61,10
2011,Wallasey,E14001010,39261,38,47,3909,974,64,97,529,486,1018,741,180,378,2776,6028,2009,1895,878,1222,685,2063,1941,3274,3761,6190,1961,22,4
2011,Warrington North,E14001017,46820,112,36,4161,596,108,117,653,842,871,974,402,805,3456,8840,3207,2259,2274,1332,477,2783,2670,2665,3729,5557,2026,21,8
2011,Warrington South,E14001018,54036,136,49,4654,568,116,112,1002,803,1032,1021,516,1051,3806,8808,2956,2485,2850,2000,738,4042,2565,3026,4934,7070,2322,19,9
2011,Weaver Vale,E14001024,42247,332,85,5033,723,86,127,1472,646,954,1025,269,448,2715,7074,2241,2035,1802,1683,481,3003,2232,2295,4049,4800,1637,31,2
2011,West Lancashire,E14001033,43651,837,48,4717,872,304,345,462,874,836,1024,104,402,3158,7427,2266,2236,993,1664,460,2132,1820,2303,5091,6117,1853,22,1
2011,Westmorland and Lonsdale,E14001037,42143,1231,135,3233,610,176,613,177,363,632,662,210,185,3644,7678,1310,5396,713,743,592,2228,1579,1558,4612,4720,2336,32,8
2011,Wigan,E14001039,46829,121,38,6008,2114,352,214,436,900,1049,943,208,454,4417,8403,2471,2288,1096,1191,592,1824,2455,2771,4109,6188,2171,15,9
2011,Wirral South,E14001043,33042,70,53,3844,548,56,130,862,429,1058,761,169,256,2132,4675,1233,1483,857,1445,510,2493,1286,2419,3530,5128,1440,9,10
2011,Wirral West,E14001044,30831,68,50,2503,398,58,58,410,325,714,540,120,191,2162,4009,1164,1414,897,1205,546,2247,1118,2507,3990,5159,1443,28,10
2011,Workington,E14001053,37097,1141,90,5831,661,260,476,899,2271,382,882,477,637,3620,5738,1514,2587,421,407,454,1498,1215,2396,3031,4454,1574,9,3
2011,Worsley and Eccles South,E14001054,45204,61,31,3976,654,188,132,665,643,737,957,320,512,3677,8499,2557,2272,1454,1790,659,2489,2737,2383,3702,6119,1949,11,6
2011,Wyre and Preston North,E14001057,43402,824,34,4117,488,198,91,405,597,1673,665,194,227,3513,6383,1456,2198,1238,1180,524,2563,1329,4301,5084,6402,1813,19,3
2011,Wythenshawe and Sale East,E14001059,48918,31,33,3025,433,185,77,474,462,647,747,217,264,3110,7308,3629,3397,2123,2068,787,3233,3608,1955,4566,7318,2201,36,9
